100, 67.000000
200, 135.800003
300, 230.500000
400, 279.500000
500, 355.500000
600, 435.399994
700, 508.899994
800, 579.400024
900, 669.400024
1000, 722.900024
1100, 797.200012
1200, 891.400024
1300, 970.799988
1400, 1035.900024
1500, 1142.099976
1600, 1228.400024
1700, 1284.900024
1800, 1379.099976
1900, 1365.000000
2000, 1458.800049
2100, 1517.099976
2200, 1600.599976
2300, 1678.000000
2400, 1781.400024
2500, 1830.400024
2600, 1934.699951
2700, 2027.400024
2800, 2082.199951
2900, 2172.600098
3000, 2238.600098
3100, 2326.300049
3200, 2370.199951
3300, 2425.600098
3400, 2508.699951
3500, 2618.000000
3600, 2666.100098
3700, 2796.399902
3800, 2828.600098
3900, 2966.500000
4000, 2969.800049
4100, 3019.500000
4200, 3135.300049
4300, 3210.100098
4400, 3307.699951
4500, 3382.100098
4600, 3452.100098
4700, 3548.000000
4800, 3570.000000
4900, 3674.199951
5000, 3787.300049
5100, 3809.399902
5200, 3956.399902
5300, 4043.800049
5400, 4049.100098
5500, 4133.299805
5600, 4187.100098
5700, 4254.100098
5800, 4314.000000
5900, 4439.200195
6000, 4455.500000
6100, 4573.600098
6200, 4624.500000
6300, 4798.200195
6400, 4896.600098
6500, 4957.700195
6600, 4933.899902
6700, 5079.899902
6800, 5121.200195
6900, 5286.500000
7000, 5288.000000
7100, 5400.700195
7200, 5471.899902
7300, 5538.500000
7400, 5606.000000
7500, 5669.200195
7600, 5772.600098
7700, 5799.700195
7800, 5977.399902
7900, 5956.899902
8000, 5987.799805
8100, 6281.399902
8200, 6207.200195
8300, 6287.700195
8400, 6502.899902
8500, 6429.500000
8600, 6535.200195
8700, 6553.600098
8800, 6708.100098
8900, 6707.100098
9000, 6790.200195
9100, 6975.000000
9200, 7047.700195
9300, 7081.200195
9400, 7046.799805
9500, 7086.100098
9600, 7215.799805
9700, 7248.000000
9800, 7351.799805
9900, 7336.600098
10000, 7438.200195
