3, 0.000000
5, 0.000000
7, 0.100000
9, 0.000000
11, 0.000000
13, 0.000000
15, 0.100000
17, 0.100000
19, 0.100000
21, 0.100000
23, 0.100000
25, 0.100000
27, 0.100000
29, 0.000000
31, 0.000000
33, 0.100000
35, 0.100000
37, 0.100000
39, 0.100000
41, 0.000000
43, 0.000000
45, 0.000000
47, 0.000000
49, 0.000000
51, 0.000000
53, 0.000000
55, 0.100000
57, 0.100000
59, 0.000000
61, 0.000000
63, 0.100000
65, 0.000000
67, 0.100000
69, 0.100000
71, 0.000000
73, 0.000000
75, 0.000000
77, 0.100000
79, 0.100000
81, 0.100000
83, 0.000000
85, 0.000000
87, 0.000000
89, 0.000000
91, 0.100000
93, 0.000000
95, 0.000000
97, 0.100000
99, 0.100000
101, 0.000000
103, 0.100000
105, 0.100000
107, 0.100000
109, 0.200000
111, 0.100000
113, 0.000000
115, 0.100000
117, 0.100000
119, 0.100000
121, 0.100000
123, 0.100000
125, 0.100000
127, 0.100000
129, 0.100000
131, 0.100000
133, 0.200000
135, 0.100000
137, 0.000000
139, 0.000000
141, 0.000000
143, 0.100000
145, 0.100000
147, 0.100000
149, 0.100000
151, 0.100000
153, 0.100000
155, 0.100000
157, 0.000000
159, 0.000000
161, 0.100000
163, 0.200000
165, 0.100000
167, 0.100000
169, 0.100000
171, 0.100000
173, 0.100000
175, 0.000000
177, 0.000000
179, 0.100000
181, 0.000000
183, 0.000000
185, 0.100000
187, 0.000000
189, 0.000000
191, 0.200000
193, 0.100000
195, 0.100000
197, 0.100000
199, 0.000000
201, 0.000000
203, 0.000000
205, 0.200000
207, 0.100000
209, 0.000000
211, 0.100000
213, 0.100000
215, 0.100000
217, 0.100000
219, 0.100000
221, 0.100000
223, 0.200000
225, 0.100000
227, 0.100000
229, 0.100000
231, 0.100000
233, 0.100000
235, 0.100000
237, 0.100000
239, 0.100000
241, 0.100000
243, 0.100000
245, 0.100000
247, 0.100000
249, 0.100000
251, 0.100000
